球団名,選手名,ポジション,対戦球団,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,打点,三振,四球,犠打,犠飛,死球,試合数,更新日
読売ジャイアンツ,西舘 勇陽,投手,中日ドラゴンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,西舘 勇陽,投手,東京ヤクルトスワローズ,0.000,3,3,0,0,0,0,0,0,3,0,0,0,0,1,2026/09/22
読売ジャイアンツ,西舘 勇陽,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,西舘 勇陽,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,西舘 勇陽,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,横浜DeNAベイスターズ,0.000,2,2,0,0,0,0,0,0,2,0,0,0,0,1,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,広島東洋カープ,0.200,7,5,1,0,1,0,0,0,3,1,1,0,0,2,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,阪神タイガース,0.000,2,2,0,0,0,0,0,0,1,0,0,0,0,1,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,中日ドラゴンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,東京ヤクルトスワローズ,0.000,2,2,0,0,0,0,0,0,1,0,0,0,0,1,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山﨑 伊織,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,横浜DeNAベイスターズ,0.000,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,広島東洋カープ,0.000,8,5,0,0,0,0,0,0,0,1,2,0,0,3,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,阪神タイガース,0.000,2,2,0,0,0,0,0,0,1,0,0,0,0,1,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,中日ドラゴンズ,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,東京ヤクルトスワローズ,0.286,8,7,2,1,1,0,0,0,3,0,1,0,0,3,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,福岡ソフトバンクホークス,0.333,3,3,1,1,0,0,0,1,1,0,0,0,0,1,2026/09/22
読売ジャイアンツ,戸郷 翔征,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,横浜DeNAベイスターズ,0.000,7,6,0,0,0,0,0,0,4,0,1,0,0,3,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,広島東洋カープ,0.000,5,4,0,0,0,0,0,1,1,0,1,0,0,2,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,阪神タイガース,0.000,8,7,0,0,0,0,0,0,7,1,0,0,0,4,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,中日ドラゴンズ,0.111,9,9,1,1,0,0,0,0,6,0,0,0,0,5,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,東京ヤクルトスワローズ,0.167,8,6,1,1,0,0,0,1,1,1,1,0,0,3,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,竹丸 和幸,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,代木 大和,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,代木 大和,投手,横浜DeNAベイスターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,代木 大和,投手,広島東洋カープ,0.000,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2026/09/22
読売ジャイアンツ,代木 大和,投手,阪神タイガース,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,代木 大和,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,代木 大和,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,代木 大和,投手,中日ドラゴンズ,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2026/09/22
読売ジャイアンツ,代木 大和,投手,東京ヤクルトスワローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,代木 大和,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,代木 大和,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,代木 大和,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ウィットリー,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ウィットリー,投手,横浜DeNAベイスターズ,0.250,4,4,1,1,0,0,0,0,1,0,0,0,0,2,2026/09/22
読売ジャイアンツ,ウィットリー,投手,広島東洋カープ,0.000,4,4,0,0,0,0,0,0,2,0,0,0,0,2,2026/09/22
読売ジャイアンツ,ウィットリー,投手,阪神タイガース,0.000,4,3,0,0,0,0,0,0,2,0,1,0,0,2,2026/09/22
読売ジャイアンツ,ウィットリー,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ウィットリー,投手,千葉ロッテマリーンズ,0.000,2,1,0,0,0,0,0,0,1,1,0,0,0,1,2026/09/22
読売ジャイアンツ,ウィットリー,投手,中日ドラゴンズ,0.000,10,9,0,0,0,0,0,0,7,0,1,0,0,5,2026/09/22
読売ジャイアンツ,ウィットリー,投手,東京ヤクルトスワローズ,0.000,5,4,0,0,0,0,0,1,1,1,0,0,0,1,2026/09/22
読売ジャイアンツ,ウィットリー,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ウィットリー,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ウィットリー,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ハワード,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ハワード,投手,横浜DeNAベイスターズ,0.000,3,3,0,0,0,0,0,0,2,0,0,0,0,2,2026/09/22
読売ジャイアンツ,ハワード,投手,広島東洋カープ,0.000,2,2,0,0,0,0,0,0,1,0,0,0,0,1,2026/09/22
読売ジャイアンツ,ハワード,投手,阪神タイガース,0.000,2,2,0,0,0,0,0,0,1,0,0,0,0,2,2026/09/22
読売ジャイアンツ,ハワード,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ハワード,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ハワード,投手,中日ドラゴンズ,0.000,3,2,0,0,0,0,0,0,1,0,1,0,0,1,2026/09/22
読売ジャイアンツ,ハワード,投手,東京ヤクルトスワローズ,0.000,2,2,0,0,0,0,0,0,2,0,0,0,0,1,2026/09/22
読売ジャイアンツ,ハワード,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ハワード,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,ハワード,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,横浜DeNAベイスターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,広島東洋カープ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,阪神タイガース,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,中日ドラゴンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,東京ヤクルトスワローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田和 廉,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,赤星 優志,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,赤星 優志,投手,横浜DeNAベイスターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,赤星 優志,投手,広島東洋カープ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,赤星 優志,投手,阪神タイガース,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2026/09/22
読売ジャイアンツ,赤星 優志,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,赤星 優志,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,赤星 優志,投手,中日ドラゴンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,赤星 優志,投手,東京ヤクルトスワローズ,0.000,3,2,0,0,0,0,0,0,1,0,1,0,0,2,2026/09/22
読売ジャイアンツ,赤星 優志,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,赤星 優志,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,赤星 優志,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,横浜DeNAベイスターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,広島東洋カープ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,阪神タイガース,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,中日ドラゴンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,東京ヤクルトスワローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,山城 京平,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,横浜DeNAベイスターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,広島東洋カープ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,阪神タイガース,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,中日ドラゴンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,東京ヤクルトスワローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,中川 皓太,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,マタ,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,マタ,投手,横浜DeNAベイスターズ,0.000,4,4,0,0,0,0,0,0,4,0,0,0,0,2,2026/09/22
読売ジャイアンツ,マタ,投手,広島東洋カープ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,マタ,投手,阪神タイガース,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,マタ,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,マタ,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,マタ,投手,中日ドラゴンズ,0.000,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2026/09/22
読売ジャイアンツ,マタ,投手,東京ヤクルトスワローズ,0.000,11,9,0,0,0,0,0,0,4,1,1,0,0,4,2026/09/22
読売ジャイアンツ,マタ,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,マタ,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,マタ,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,則本 昂大,投手,オリックス・バファローズ,0.000,3,2,0,0,0,0,0,0,1,0,1,0,0,1,2026/09/22
読売ジャイアンツ,則本 昂大,投手,横浜DeNAベイスターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,則本 昂大,投手,広島東洋カープ,0.000,3,3,0,0,0,0,0,0,2,0,0,0,0,2,2026/09/22
読売ジャイアンツ,則本 昂大,投手,阪神タイガース,0.000,3,3,0,0,0,0,0,0,3,0,0,0,0,2,2026/09/22
読売ジャイアンツ,則本 昂大,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,則本 昂大,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,則本 昂大,投手,中日ドラゴンズ,0.500,2,2,1,1,0,0,0,0,1,0,0,0,0,2,2026/09/22
読売ジャイアンツ,則本 昂大,投手,東京ヤクルトスワローズ,0.000,2,1,0,0,0,0,0,0,0,0,1,0,0,1,2026/09/22
読売ジャイアンツ,則本 昂大,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,則本 昂大,投手,福岡ソフトバンクホークス,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2026/09/22
読売ジャイアンツ,則本 昂大,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,横浜DeNAベイスターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,広島東洋カープ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,阪神タイガース,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,中日ドラゴンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,東京ヤクルトスワローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,田中 瑛斗,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,オリックス・バファローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,横浜DeNAベイスターズ,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,広島東洋カープ,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,1,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,阪神タイガース,0.000,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,中日ドラゴンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,東京ヤクルトスワローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,福岡ソフトバンクホークス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,又木 鉄平,投手,北海道日本ハムファイターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,森田 駿哉,投手,オリックス・バファローズ,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2026/09/22
読売ジャイアンツ,森田 駿哉,投手,横浜DeNAベイスターズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,森田 駿哉,投手,広島東洋カープ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,森田 駿哉,投手,阪神タイガース,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,森田 駿哉,投手,埼玉西武ライオンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,森田 駿哉,投手,千葉ロッテマリーンズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,森田 駿哉,投手,中日ドラゴンズ,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2026/09/22
読売ジャイアンツ,森田 駿哉,投手,東京ヤクルトスワローズ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
読売ジャイアンツ,森田 駿哉,投手,東北楽天ゴールデンイーグルス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/09/22
